screen_name,text,char_length
RufusPeabody,"top cfb game grades from week 1 3 :
1 ) utah (v arizona 3 5 -7 )
2 ) lsu (v ark 5 6 -2 0 )
3 ) memphis (v usf 4 9 -1 0 )
4 ) minnesota (v nw 3 8 -2 2 )
5 ) tennessee (v mizzou 2 4 -2 0 )
6 ) michigan (v ind 3 9 -1 4 )
7 ) boise (v utast 5 6 -2 1 )
8 ) nebraska (v md 5 4 -7 )
9 ) ohiost (v pennst 2 8 -1 7 )
1 0 ) e michigan",324
RufusPeabody,"my highest graded cfb performances of week 3 :
1 ) georgia (vs. ark st 5 5 -0 )
2 ) ohio st (at indiana 5 1 -1 0 )
3 ) clemson (at cuse 4 1 -6 )
4 ) oklahoma (at ucla 4 8 -1 4 )
5 ) alabama (at s car 4 7 -2 3 )
6 ) kansas st (at miss st 3 1 -2 4 )
7 ) tcu (at purdue 3 4 -1 3 )
8 ) w michigan (vs. ga st 5 7 -1 0 )",314
RufusPeabody,"1 ) georgia (4 3 -1 4  @ tenn)
2 ) lsu (4 2 -6  v utahst)
3 ) oklahoma (4 5 -2 0  @ kansas)
4 ) wisconsin (4 8 -0  v kentst)
5 ) penn st (3 5 -7  v purdue)
6 ) tulane (4 2 -3 3  @ army)
7 ) maryland (4 8 -7  @ rutgers)
8 ) baylor (3 1 -1 2  @ k-st)
9 ) ohio st (3 4 -1 0  v michst)
1 0 ) iowa st (4 9 -2 4  v tcu)",313
RufusPeabody,"top  cfb game grades from week 5 :
1 ) penn st (5 9 -0  md)
2 ) ohio st (4 8 -7  neb)
3 ) cincy (5 2 -1 4  marshall)
4 ) auburn (5 2 -1 3  missst)
5 ) duke (4 5 -1 0  vt)
6 ) hawaii (5 4 -3  unr)
7 ) oklahoma (5 5 -1 6  tt)
8 ) bama (5 9 -3 1  miss)
9 ) tcu (5 1 -1 4  ku)
1 0 ) houston (4 6 -2 5  unt)",302
RufusPeabody,"(2 ) osu/clem/georgia win. osu/clem 1 0 0  % 
a) ou/utah win (1 2  % ):
lsu 9 5  % 
uga 9 4  % 
ou 7  % 
utah 4  % 

b) baylor/utah win (3 .2  % ):
lsu 9 8  % 
uga 9 7  % 
utah 4  % 
baylor 1  % 

c) baylor/oreg win (1 .3  % )
lsu 9 9  % 
uga 9 8  % 
baylor 3  % 

d) ou/oreg win (5 .4  % )
lsu 9 7  % 
uga 9 5  % 
ou 8  % ",323
RufusPeabody,because you are paying more in extra vig than it’s worth. 4 8  for example is ~3 .3  %  push rate meaning buying onto 4 8  3 .3  %  of the time you turn a loss into a push. so instead of .5 2 3 8  (-1 1 0 ) you now have .5 2 3 8 /(1 -.0 3 3 )=.5 4 1 6  (-1 1 8 ). this case buying on 4 8  from -1 1 0  is worth 8 c.,315
RufusPeabody,"let's assume you're down 1 4  and score 2  tds (and opp doesn't score). for simplicity pat=1 0 0  %  2 pt=5 0  % .

s1 : 2 pt✅ pat✅ win (5 0  % )
s2 : 2 pt❌ 2 pt❌ lose by 2  (2 5  % )
s3 : 2 pt❌ 2 pt✅ force ot (2 5  % )

if wp(ot)=5 0  %  wp=6 2 .5  %  going for 2  vs. 5 0  %  if you kick 2  pats to force ot.",310
RufusPeabody,"best performances in a loss (c/o  game grades):
1 4 ) notre dame .8 5 1  (at uga 1 7 -2 3 )
2 5 ) air force .7 4 0  (vs boise 1 9 -3 0 )
3 6 ) texas am .5 8 8  (at auburn 2 0 -2 8 )
3 7 ) unc .5 7 7  (at app st 3 1 -3 4 )
3 8 ) south carolina .5 6 8  (vs missouri 1 4 -3 4 )",274
RufusPeabody,"top nfl wk7  game grades:
(these represent exp pt diff on neutral field vs avg tm based on how tm played controlling for opp weighting stats by predictive value)
1 ) min +1 2
2 ) gb +1 1 .6
3 ) kc +9 .8
4 ) lar +9 .7
5 ) dal +9 .0
6 ) no +9 .0
7 ) ten +4 .6
8 ) hou +3 .4
9 ) jac +3 .3
1 0 ) bal +2 .8",301
RufusPeabody,stanford steve recommended a 3 -tm 1 0 -pt teaser at -1 4 0  on daily wager. break-even cover rate for each leg is 8 3 .5 5  % . he had gaso pk temple -1 .5   tem u5 7 .5 . he could just parlay tem -4 7 0  (8 2 .4  % ) gasou -4 0 0  (8 0  % ) at much better odds. and teasing a cfb total 1 0  points? ick.,305
RufusPeabody,"and here's how we see things shaking out when it's all said and done. playoff probs via  
clemson (8 5  % ) ohio state (8 3  % ) lsu (7 0  % ) alabama (7 0  % ) oklahoma (3 4  % ) penn st (1 8  % ) georgia (1 6  % ) florida (8  % ) minnesota (5  % ) utah (4  % ) baylor (3  % ) oregon (2  % )",292
RufusPeabody,i think i spoke too soon. it's setup as a 7 5 .6 /1 4 5  for pga tour play so if i shot my index of 9 .0  i'd shoot an 8 7 . though handicap index only takes best half of rounds so if you use all of my last 2 0  rounds i'd be a 1 2 .7  meaning 9 1 .6  exp score. i'll go with +3 0 0 .,284
RufusPeabody,"u.s. open longshots i like (prices from dk):
morikawa 7 5 0 /1  8 0 /1  t5  3 3 /1  t1 0
saunders 7 5 0 /1  1 0 0 /1  t5  4 0 /1  t1 0
schniederjans 5 0 /1  t1 0
carlos ortiz 5 0 /1  t1 0
nick hardy 1 0 0 /1  t1 0
bremner 1 5 0 /1  t1 0

also like cantlay +4 5 0  t5",266
RufusPeabody,"top  cfb wk4  game grades:
1 ) lsu .9 9 4  (vs vandy 6 6 -3 8 )
2 ) ohio st .9 8 6  (vs m-oh 7 6 -5 )
3 ) wisconsin .9 8 5  (vs mich 3 5 -1 4 )
4 ) alabama .9 7 6  (vs s miss 4 9 -7 )
5 ) iowa st .9 5 3  (vs la-monroe 7 2 -2 0 )",228
RufusPeabody,overround in case of -1 4 3  is 1 7 .7  % . but i think the way i did it is pretty intuitive as well -- i'm coming at it from a bettor's perspective of course but a book takes bets on each side (1 .4 3  to win 1 ). they win .4 3  out of 2 .8 6  in handle which is 1 5 .0 3  % .,277
