screen_name,text,char_length
mschwimer,"below is our record by month.  all publicly verifiable picks.  all 1  unit.  all vs. best available line in us. 

2 0 1 9
feb +2 2 .0 0
mar +2 5 .6 0
apr +6 .6 2
may -1 1 .1 4
june +1 1 .8 5
july +4 0 .3
aug +1 1 .6 9
sep +0 .3 1
oct +4 .8 8
nov -2 7 .8 1
dec +5 0 .4 5
2 0 2 0
jan -4 2 .8
feb +1 6 .7

total +1 0 8 .6 5",320
mschwimer,"complete jambos record of only publicly available picks vs. betcris at tor
format= total recs (minus pushes) total units -1 1 0  adjusted winning % 

nfl= 2 4 6  +1 4 .7 9  5 5 .2 4  % 
mlb= 1 4 5 9  +3 9 .9 8  5 3 .6 9  % 
ncaabb= 1 0 7 8  +.8 5  5 2 .4 2  % 
ncaaf= 4 0 1  -1 0 .3  5 1 .1 5  % 
overall= 3 1 8 4  +4 5 .3 2  5 3 .0 7  % ",338
mschwimer,"decent week. complete jambos record of only publicly available picks vs. betcris at tor
format= total recs(- pushes)/total units/-1 1 0  adjusted winning % 

overall= 3 2 7 9 /+5 0 .1 6 /5 3 .1 1  % 
nfl= 2 7 0 /+1 9 .6 8 /5 5 .8 5  % 
mlb= 1 4 5 9 /+3 9 .9 8 /5 3 .6 9  % 
ncaabb= 1 1 4 9 /+.8 /5 2 .4 1  % 
ncaaf= 4 0 1 /-1 0 .3 /5 1 .1 5  % ",344
mschwimer,"picked a great time to have a monster week! 

full publicly available pick record vs. betcris at tor. all 1  unit. 

sport/total recs(-pushes)/units/-1 1 0  adj. win % 

nfl= 2 9 2 /+2 0 .2 8 / 5 5 .7  % 
mlb= 1 4 5 9 /+3 9 .9 8 /5 3 .7  % 
ncaabb = 1 2 5 6 /+2 5 .1 5 / 5 3 .3  % 
ncaaf = 4 1 0 /-1 1 .4 3 /5 1 .1  % ",318
mschwimer,"8 /3 1  record: 9 -4 -1  +5 .0 6  u
mlb: 5  plays 3 -2  +1 .2 6  u
ncaaf: 9  plays 6 -2 -1  +3 .8  u

cumulative records (vs. market consensus line): +1 8 4 .1 7  u
mlb: 1 3 1 4  plays +3 8 .5 9  u
ncaab: 1 4 7 6  plays +1 4 6 .6 9  u
ncaaf: 2 2  plays -2 .0 1  u
nfl: 3  plays +0 .9  u",286
mschwimer,so answer this.  if a person invests 1 0  thousand  in the stock market and gets back 2 0  thousand  total and that same person invests 1 0  thousand  in betting on sports and ends with 1 0 0  thousand  but made 1 0 0 0 0 0 0 0  in bets (never at risk for than 1 0  thousand ) did his stock market or sports betting get him a better roi?,337
mschwimer,if the bet has a true prob of winning at 5 8  %  at -1 2 0 . it closes at -1 6 0 . and no injuries etc. i believe that bet at -1 2 0  now has ~5 8 .5  %  chance to win. others suggest it has more than a 6 0  %  chance to win. all numbers are off top of head. using them to illustrate the point.,294
mschwimer,monday is the last day of free picks. tuesday starts our weekly packages. if you sign up for 1  week it costs  $ 2 5 0  for minimum of 5 0  recs. if we are negative units we will give you  $ 3 0 0  back. or the 4  week plan which costs  $ 9 0 0 . if we are negative units we give you  $ 2 0 0 0  back.,301
mschwimer,"1 0 0 0 0 0 0  people said they were going to be mlb players. 9 9 .9 9  %  didnt. 

1 0 0 0 0 0 0  people said they were going to be ceos of a hundred million dollar company. 9 9 .9 9  %  didnt. 

i did both. this is just next on the list. many people have bet against me. no one has won yet.",292
mschwimer,you are correct. our record of more than 2 5 0 0  recs are all mlb and ncaab. ncaab backtested at 5 6  % . in reality over 1 4 0 0  picks we did 5 8 .3  % . mlb projected only +4 0  units on year. we are on pace for +6 0 ish. dont think nfl or ncaaf will be different. but i could be wrong,289
mschwimer,this is amazing.  and i have each won 6  consecutive best bets. the likelihood of us picking 1 2  straight winners in a sample of 1 2  games assuming we have a 5 0 /5 0  chance at each pick is roughly 1  in 5 0 0 0 . even if we had a 6 0  %  edge on each pick it is 1  in 5 0 0 .,279
