screen_name,text,char_length
12Xpert,"since the start of the current season these are  3 8 -game running points totals. previous record was 1 0 2  held by man city and chelsea. insane. 
9 7  9 7  9 7  9 7  9 7  9 7  9 9  1 0 1  9 9  9 9  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 1  1 0 4  1 0 4  1 0 4  1 0 6  1 0 8  1 0 8  1 1 0",317
12Xpert,"with full kelly staking (2 .5  %  for odds of 3  1 0  %  for odds of 1 .5 ) expectations after 1 0 0 0  bets starting bank 1 0 0 .

odds = 3
expected (mean) bank = 3 4 9
median bank = 1 8 6
chance of loss = 2 9 .0  % 

odds = 1 .5
expected (mean) bank = 1 4 6 5 8
median bank = 1 2 7 4
chance of loss = 1 2 .7  % ",313
12Xpert,"for the record here are the figures for homes.
all homes average o/c = 0 .9 9 9 5
winning homes = 1 .0 0 6 7
losing homes = 0 .9 9 3 8
t = 2 6  p = 1 e-1 5 1

figures for aways.
all aways average o/c = 1 .0 0 1 2
winning aways = 1 .0 1 2 5
losing aways = 0 .9 9 6 7
t = 2 2  p = 8 e-1 1 0",288
12Xpert,so here's how it goes. match a opens with a line of 2 1 0  and closes with 2 0 5 . 'true' line is 2 0 0 . match finishes with 2 0 0 . match b opens with a line of 1 9 0  and closes with 1 9 5 . 'true' line is 2 0 0 . match finishes with 2 0 0  average closing line is 2 0 0  and average result is 2 0 0 .,304
12Xpert,i guess this is kind of obvious but in a sample of 1 6 2 6 5 4  football matches the ratio of the opening to closing 1  times 2  odds ( was bigger for the 1 6 2 6 5 4  winners (1 .0 0 5 9 ) than the 3 2 5 3 0 8  losers (0 .9 9 4 5 ). the difference is significant. t = 3 8  p-value = 3 e-3 1 6 .,295
12Xpert,you have over at 1 .9 5  and under at 1 .9 5 . 5 0  %  chance of either. bet over and your expectation is (0 .5  times 0 .9 5 )-0 .5  = -0 .0 2 5 . bet under and its the same. bet both together its still the same. 1 0 0  matches like this 5 0  finish over 5 0  under. total stakes = 2 0 0  loss = -5  = -2 .5  % ,312
12Xpert,but if zoom in on the k's that matter then you can see more clearly the impact of having a bit of skill. in this monte carlo run the 5 0  %  bettor had a probability of 3 8 .4  %  of seeing a 1 0 . for the 4 8  %  bettor it was 4 4 .1  % . for the 5 2  %  bettor it was 2 8 .1  % .,281
12Xpert,but in general i'd say it's no different. of the sample of 3 4 4 5  bwin poker players i discussed in my book just 3 8 3  or 1 1  %  were profitable (similar to sport) and most of them will have been lucky. of those 3 8 3  9 1  %  of the profits went to 2 0  %  of them with 4 0  %  going to the top 5 .,303
12Xpert,that is indeed how i'm doing it. i think there are two errors here. first loss  %  is 5 1  %  not 4 9  % . second i think the answer you get using 6 4 1  and 0 .4 9  which is indeed 0 .5 1 1  is not a percentage but an expected number of times occurring. you want this number to be 1  for 5 0 -5 0 .,299
12Xpert,this is in stark contrast to the current increasingly frenzied attack on the gambling industry by the  who have already published 1 8  stories about gambling this month alone compared 1 0  in january 2 0 1 9  1 1  in jan 2 0 1 8  7  in jan 2 0 1 7  6  in jan 2 0 1 6 . 1 2 1  in all of 2 0 1 9 .,295
12Xpert,using wiki there have been 3 8 1  sackings to date since inception of premier league. the average time a manager sacked in 2 0 0 0  had been in place was 6 6 6  days. based on the whole data set this was below par (which was 8 1 0  days). in 2 0 1 9  it is 6 1 3  days which is above par (5 3 6  days).,302
12Xpert,"more robust than average odds.
assuming your numbers e(k) for k = 2 5  is about 0 .2 1 . so seeing 2 5  is not implausible. run a monte carlo to see how often you see sequences of 2 1  losses (and 2 5 ) in 4 7 5 6  bets. this is what i got. a 2 5  happened at least once 6 .7 2  %  of the time.",294
12Xpert,"i'd say that's ""pareto principle"" for you or the ""8 0 -2 0  rule"". 8 0  %  of the profits come from 2 0  %  of the winning bets. depending on how you look at it things can be far more extreme than that. in 9 4 4 3  woc bets the overall profit is 3 8 3 .6 1 . all of it comes from just 2 3  of them.",298
12Xpert,and via a monte carlo sim that is what i find for all bets with expected win  %  5 7  % . now i re-run by having 4 3  consecutive bets of xwin %  3 9  %  followed by1 0 3  with 6 4 .5  %  (making 5 7  %  average). this time the average number of 3 4 -bet sequences with 1 2  or fewer wins is 7 .,295
12Xpert,"most of this will just be variance.
chance of 2 8 .6  %  from 4 3 9  bets avg odds 5 .0 1  = 0 .0 4  % 
chance of 6 .8  %  from 1 1 3 5  bets avg odds 2 .7 2  = 0 .8 2  % 
not a huge difference so whilst yield might be higher you can't infer that longer odds do better compared to expectation.",293
12Xpert,"i'm lost. if the book is 1 0 0  %  then the implied probabilities of all the horses must sum to 1 .
so i have a 2  horse race. i price it 0 .5 /0 .5  knowing that horse a will be hit by a meteorite and fail to finish. the true price is 0  and for b the true price is 1 . still sums to 1 .",288
12Xpert,"and for the opposition
1 -0  emery out
1 -1  emery out
1 -2  pftt
1 -3  well fuck it up
2 -3  see
2 -4  we still will
3 -4  see
4 -4  told you. emery out
4 -5  oh
5 -5  slaps face. emery out
lfc win! - fucked it up as only arsenal know. emery out. wait havent we done this before? morgan is a c***",297
12Xpert,say i bet 2 .1  and it closes at 2 .0  (after juice is removed). if the closing price is 'true' then my predicted roi is given by 2 .1 /2 .0  = 1 .0 5  or 1 0 5  %  (5  %  profit). if i make thousands of bets like this and i make a 5  %  profit this implies the closing prices were 'true' (on average).,302
12Xpert,you have 1 0 0 0 0  teams they all close at +1 0 0 . clvh tells you they should be efficient. but how do you know? say for all of those teams you were able to bet +1 1 0 . if the close was efficient for all your roi should be 5  % . if it is that tells you close was likely efficient.,284
12Xpert,think of it this way. suppose you had to throw 3 7  successful darts equivalent to 3 7  pots to make the 1 4 7 . 4  x 9  = 3 6  so that's 4  consecutive 9 -darters followed by a treble 2 0 . would a darts pro be more likely to do that than a snooker pro make a 1 4 7 ? no chance.,279
12Xpert,"what's your long term expected win percentage with these? if 5 3  %  then i estimate the current bad luck to be a 1  in 6  event
if 5 4  %  a 1  in 1 4  event
if 5 5  %  1  in 4 4
if 5 6  %  1  in 1 8 3
if 5 7  %  1  in 1 0 0 0
any thoughts?",241
12Xpert,"2 3 rd may 2 0 1 6  uk treasury published this:

its ""cautious"" forecasts predicted sterling falls 1 2  %  unemployed rises 5 2 0 0 0 0  wages fall 2 .8  %  house prices fall 1 0  % . in fact sterling fell 2 0  %  unemployed fell 2 9 0 0 0 0  wages rose 5 .1  %  house prices rose 7  % ",286
12Xpert,a though experiment. suppose bookie offers a market on a coin toss (they do in the form of odd/even e.g.). suppose it's random who bets what side so expected is 5 0 -5 0 . using binomial with odds of 1 .9 5 /1 .9 5  and 1 0 0  bettors there's a 3 8  %  chance bookie is exposed (5 2 /4 8  or worse).,299
12Xpert,"or this.
a: opens 2 1 0  closes 2 0 5  game total = 2 0 0
b: opens 2 0 0  closes 2 0 5  game total = 2 1 0
when doing emh analysis we see average closing price = 2 0 5  and average game total = 2 0 5 . hence we see efficiency.
but hidden is the influence of anchoring.
thanks.",276
12Xpert,oh i don't doubt that but i think whilst 9 -darter would be something like 1  in a trillion (based on having thrown a couple of 1 8 0 s and i;m guessing i've probably thrown 3  darts about 1 0 0 0 0  times) me doing a 1 4 7  would be more like 1  in 1 0 ^2 4  based on my current ability.,288
12Xpert,think you know what a small sample is? imagine someone had said away wins in english pro football had been doing well in 2 0 1 4  so you decided to bet them in 2 0 1 5 . this is how you would have done with all 2 0 4 7  matches played in that year to  closing prices. +2 .8 3  % .,280
12Xpert,definitely ratio. imagine bookie probability of 0 .0 0 1  (odds = 1 0 0 0 ) and true probability of 0 .0 1  (odds = 1 0 0 ). difference is just 0 .0 0 9  (0 .9  % ) but your edge is 1 0 . edge correlates exactly with expected roi when betting level stakes. difference to my mind tells you nothing.,297
12Xpert,wisdom of crowd system performance for extra leagues. sample size of bets = 2 1 0 6 1  (since 2 0 1 2 /1 3 ). actual roi = 3 .6 8  %  expected roi = 6 .2 5  % . difference is p-value = 0 .0 3 . could this imply that  odds for these less liquid leagues are less efficient than the majors?,287
